
2025/04/15 (20:25:13) | ===> btop++ v.1.4.0
2025/04/15 (20:25:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (20:32:12) | ===> btop++ v.1.4.0
2025/04/15 (20:32:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (23:54:42) | ===> btop++ v.1.4.0
2025/04/15 (23:54:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (23:29:24) | ===> btop++ v.1.4.0
2025/04/16 (23:29:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (11:54:57) | ===> btop++ v.1.4.0
2025/04/19 (11:54:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (22:55:07) | ===> btop++ v.1.4.0
2025/04/21 (22:55:07) | WARNING: Intel GPU: Failed to initialize PMU
