HyperHDR 22.0.0beta1-1
alsa-scarlett-gui 0.5.1-2
alsa-utils 1.2.15.2-2
amd-ucode 20260410-1
ansible 13.6.0-1
ansible-lint 26.4.0-1
awww 0.12.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bemenu 0.6.23-1
bemenu-wayland 0.6.23-1
bind 9.20.22-1
bluez 5.86-5
bluez-utils 5.86-5
brightnessctl 0.5.1-3
btop 1.4.7-1
catimg 2.8.0-1
cava 0.10.7-1
ccid 1.7.1-1
checkupdates-systemd-git r8.c8dd565-1
chromium 148.0.7778.96-1
cifs-utils 7.5-1
clinfo 3.0.25.02.14-1
cliphist 1:0.7.0-2
cmatrix 2.0-4
cups 2:2.4.19-1
cups-pk-helper 0.2.7-2
dmidecode 3.7-1
dnsmasq 2.92-2
dosfstools 4.2-5
drawio-desktop 29.6.1-1
efibootmgr 18-4
exfatprogs 1.3.2-1
fastfetch 2.62.1-1
fd 10.4.2-2
figlet 2.2.5-6
firefox 150.0.2-1
flatpak 1:1.16.6-1
foot 1.26.1-1
freerdp 2:3.26.0-1
fzf 0.72.0-1
gamemode 1.8.2-2
gamescope 3.16.23-1
gcc 16.1.1+r12+g301eb08fa2c5-1
git 2.54.0-1
github-cli 2.92.0-1
gparted 1.8.1-1
gpu-screen-recorder 5.13.5-1
gpu-screen-recorder-ui 1.11.8-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.4-1
hashcat 1:7.1.2-2
informant 0.6.0-1
intel-media-driver 26.1.5-1
inxi 3.3.40.1-1
iwd 3.12-1
j4-dmenu-desktop 3.2-7
kitty 0.46.2-1
lazygit 0.61.1-1
libfido2 1.17.0-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.3-1
libva-intel-driver 2.4.1-6
libvirt 1:12.3.0-1
linux 7.0.5.arch1-1
linux-firmware 20260410-1
linux-headers 7.0.5.arch1-1
linux-lts 6.18.29-1
linux-lts-headers 6.18.29-1
lolcat 100.0.1-5
losslesscut-bin 3.68.0-1
lsd 1.2.0-2
ly 1.4.0-1
make 4.4.1-3
man-db 2.13.1-1
man-pages 6.18-1
mangohud 0.8.3-2
mesa-demos 9.0.0-7
mesa-utils 9.0.0-7
mpv 1:0.41.0-3
nano 9.0-1
nemo 6.6.4-1
neovim 0.12.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
nmap 7.99-2
npm 11.14.1-1
nvtop 3.3.2-1
obs-studio 32.1.2-2
obsidian 1.12.7-2
openrgb 1.0rc2-6
openrgb-plugin-effects-git 0.9.113.g56ed8f0-1
opensc 0.27.1-1
pandoc-cli 3.6-33
papirus-icon-theme 20250501-1
pavucontrol 1:6.2-1
pcsc-tools 1.7.4-1
pipewire 1:1.6.4-1
pipewire-alsa 1:1.6.4-1
pipewire-pulse 1:1.6.4-1
polkit-gnome 0.105-12
proton-mail-bin 1.13.0-1
proton-pass-bin 1.36.1-1
pyright 1.1.409-1
python-pip 26.1.1-1
python-pywal 3.3.0-11
python-pywalfox 2.7.4-1
qemu-full 11.0.0-1
qflipper 1.3.3-4
qutebrowser 3.7.0-1
ripgrep 15.1.0-2
rocm-opencl-runtime 7.2.3-1
rpi-imager 2.0.8-1
rsync 3.4.2-1
ruff 0.15.12-1
satty 0.20.1-2
sbctl 0.18-1
seafile-client 9.0.18-1
seatd 0.9.3-1
shotcut 26.4.30-1
sl 5.05-5
slurp 1.5.0-2
smartmontools 7.5-1
sshfs 3.7.5-1
steam 1.0.0.85-6
sudo 1.9.17.p2-2
swappy 1.8.0-1
sway-contrib 1.11-1
swaybg 1.2.2-1
swayfx 0.5.3-4
swayidle 1.9.0-1
swaylock-effects 1.8.1-1
swaync 0.12.6-1
syncthing 2.0.16-2
system-config-printer 1.5.18-6
systemd-ukify 260.1-2
termsonic-git 0.2.r4.g1dd63d4-1
thunar 4.20.8-3
tldr 3.4.4-1
tmux 3.6_a-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-nerd-fonts-symbols 3.4.0-1
unzip 6.0-23
usbmuxd 1.1.1-4
usbutils 019-1
vencord 1.14.13-1
vim 9.2.0450-1
virt-manager 5.1.0-3
viu 1.6.1-2
vlc 3.0.22-3
vulkan-intel 1:26.0.6-1
vulkan-nouveau 1:26.0.6-1
vulkan-radeon 1:26.0.6-1
vulkan-tools 1.4.341.0-2
waybar 0.15.0-2
weechat 4.9.0-1
wev 1.1.0-1
wget 1.25.0-4
whois 5.6.6-1
wine32 11.8-1
wireguard-tools 1.0.20260223-1
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wmenu 0.2.0-1
woff2-font-awesome 7.2.0-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-wlr 0.8.2-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.22-2
xorg-xinit 1.4.4-1
xorg-xwayland 24.1.11-2
xsettingsd 1.0.2-3
yay 12.5.7-1
yay-debug 12.5.7-1
yazi 26.5.6-2
yt-dlp 2026.03.17-1
ytfzf 2.6.2-2
yubikey-manager 1:5.9.1-1
yubikey-personalization 1.20.0-5
zathura 2026.05.10-1
zathura-pdf-mupdf 2026.05.10-1
zram-generator 1.2.1-1
zsh 5.9-6
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
